================================================================================
TRIPLE SIGNAL SCANNER - ULTIMATE BUY SETUP RESULTS
================================================================================
Scan Date: 2025-12-21 19:35:17

SIGNAL CRITERIA (ALL MUST BE TRUE):
  1. In Channel: Price within 3-week range (consolidating)
  2. Price Zone: In buy zone (0-35% of range)
  3. EFI Momentum: Maroon or orange (oversold)
  4. Trend: Uptrend confirmed

Total TRIPLE SIGNALS Found: 124
================================================================================

TRIPLE SIGNAL SETUPS (Sorted by Range Position - Lower = Better):
--------------------------------------------------------------------------------
Ticker   Date         Price      Range        Pos %    EFI      Force Idx   
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: DY
  Date: 2025-12-18
  Price: $341.19
  Range: $340-$350
  Position in Range: 11.9%
  Buy Zone (25%): $342.50
  EFI Color: ORANGE
  Force Index: -10.13
  Normalized Price: 32.39
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: SEE
  Date: 2025-12-18
  Price: $41.26
  Range: $40-$50
  Position in Range: 12.6%
  Buy Zone (25%): $42.50
  EFI Color: MAROON
  Force Index: -0.81
  Normalized Price: 3.26
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: HLLY
  Date: 2025-12-18
  Price: $4.13
  Range: $4-$5
  Position in Range: 13.0%
  Buy Zone (25%): $4.25
  EFI Color: ORANGE
  Force Index: -0.04
  Normalized Price: 0.51
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: DHI
  Date: 2025-12-18
  Price: $151.40
  Range: $150-$160
  Position in Range: 14.0%
  Buy Zone (25%): $152.50
  EFI Color: MAROON
  Force Index: -5.54
  Normalized Price: -1.90
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: NUVL
  Date: 2025-12-18
  Price: $101.41
  Range: $100-$110
  Position in Range: 14.1%
  Buy Zone (25%): $102.50
  EFI Color: ORANGE
  Force Index: -6.23
  Normalized Price: 4.77
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: FICO
  Date: 2025-12-18
  Price: $1761.41
  Range: $1760-$1770
  Position in Range: 14.1%
  Buy Zone (25%): $1762.50
  EFI Color: ORANGE
  Force Index: -39.45
  Normalized Price: 57.98
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: TMHC
  Date: 2025-12-18
  Price: $61.44
  Range: $60-$70
  Position in Range: 14.4%
  Buy Zone (25%): $62.50
  EFI Color: ORANGE
  Force Index: -0.66
  Normalized Price: -0.67
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: MTSI
  Date: 2025-12-18
  Price: $171.47
  Range: $170-$180
  Position in Range: 14.7%
  Buy Zone (25%): $172.50
  EFI Color: ORANGE
  Force Index: -10.46
  Normalized Price: 13.85
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: RLMD
  Date: 2025-12-18
  Price: $4.15
  Range: $4-$5
  Position in Range: 15.0%
  Buy Zone (25%): $4.25
  EFI Color: ORANGE
  Force Index: -0.07
  Normalized Price: 1.05
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: NAII
  Date: 2025-12-18
  Price: $3.15
  Range: $3-$4
  Position in Range: 15.0%
  Buy Zone (25%): $3.25
  EFI Color: ORANGE
  Force Index: -0.18
  Normalized Price: -0.02
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: CORT
  Date: 2025-12-18
  Price: $81.54
  Range: $80-$90
  Position in Range: 15.4%
  Buy Zone (25%): $82.50
  EFI Color: MAROON
  Force Index: -3.39
  Normalized Price: 2.95
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: OMER
  Date: 2025-12-18
  Price: $9.16
  Range: $9-$10
  Position in Range: 16.0%
  Buy Zone (25%): $9.25
  EFI Color: ORANGE
  Force Index: -1.15
  Normalized Price: 1.38
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: VRDN
  Date: 2025-12-18
  Price: $31.60
  Range: $30-$40
  Position in Range: 16.0%
  Buy Zone (25%): $32.50
  EFI Color: MAROON
  Force Index: -0.68
  Normalized Price: 4.95
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: SOHO
  Date: 2025-12-18
  Price: $2.16
  Range: $2-$3
  Position in Range: 16.0%
  Buy Zone (25%): $2.25
  EFI Color: MAROON
  Force Index: -0.03
  Normalized Price: 0.43
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: ROK
  Date: 2025-12-18
  Price: $391.62
  Range: $390-$400
  Position in Range: 16.2%
  Buy Zone (25%): $392.50
  EFI Color: ORANGE
  Force Index: -12.79
  Normalized Price: 18.83
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: MD
  Date: 2025-12-18
  Price: $21.64
  Range: $20-$30
  Position in Range: 16.4%
  Buy Zone (25%): $22.50
  EFI Color: MAROON
  Force Index: -1.47
  Normalized Price: 1.51
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: NEO
  Date: 2025-12-18
  Price: $11.68
  Range: $10-$20
  Position in Range: 16.8%
  Buy Zone (25%): $12.50
  EFI Color: ORANGE
  Force Index: -0.11
  Normalized Price: 1.34
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: OKE
  Date: 2025-12-18
  Price: $71.69
  Range: $70-$80
  Position in Range: 16.9%
  Buy Zone (25%): $72.50
  EFI Color: MAROON
  Force Index: -2.56
  Normalized Price: -0.02
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: TWI
  Date: 2025-12-18
  Price: $8.17
  Range: $8-$9
  Position in Range: 17.0%
  Buy Zone (25%): $8.25
  EFI Color: ORANGE
  Force Index: -0.09
  Normalized Price: 0.11
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: ONTO
  Date: 2025-12-18
  Price: $151.73
  Range: $150-$160
  Position in Range: 17.3%
  Buy Zone (25%): $152.50
  EFI Color: ORANGE
  Force Index: -3.08
  Normalized Price: 14.65
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: RIGL
  Date: 2025-12-18
  Price: $41.77
  Range: $40-$50
  Position in Range: 17.7%
  Buy Zone (25%): $42.50
  EFI Color: ORANGE
  Force Index: -2.65
  Normalized Price: 3.74
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: NGS
  Date: 2025-12-18
  Price: $31.78
  Range: $30-$40
  Position in Range: 17.8%
  Buy Zone (25%): $32.50
  EFI Color: MAROON
  Force Index: -1.09
  Normalized Price: 2.35
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: NSC
  Date: 2025-12-18
  Price: $291.83
  Range: $290-$300
  Position in Range: 18.3%
  Buy Zone (25%): $292.50
  EFI Color: MAROON
  Force Index: -2.97
  Normalized Price: 5.78
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: STEL
  Date: 2025-12-18
  Price: $31.84
  Range: $30-$40
  Position in Range: 18.4%
  Buy Zone (25%): $32.50
  EFI Color: MAROON
  Force Index: -0.02
  Normalized Price: 1.18
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: STOK
  Date: 2025-12-18
  Price: $31.93
  Range: $30-$40
  Position in Range: 19.3%
  Buy Zone (25%): $32.50
  EFI Color: MAROON
  Force Index: -0.16
  Normalized Price: 4.11
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: ATRO
  Date: 2025-12-18
  Price: $51.94
  Range: $50-$60
  Position in Range: 19.4%
  Buy Zone (25%): $52.50
  EFI Color: ORANGE
  Force Index: -0.01
  Normalized Price: 4.25
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: SBCF
  Date: 2025-12-18
  Price: $31.95
  Range: $30-$40
  Position in Range: 19.5%
  Buy Zone (25%): $32.50
  EFI Color: MAROON
  Force Index: -0.34
  Normalized Price: 1.07
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: RCUS
  Date: 2025-12-18
  Price: $21.99
  Range: $20-$30
  Position in Range: 19.9%
  Buy Zone (25%): $22.50
  EFI Color: MAROON
  Force Index: -2.71
  Normalized Price: 2.57
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: AGYS
  Date: 2025-12-18
  Price: $122.01
  Range: $120-$130
  Position in Range: 20.1%
  Buy Zone (25%): $122.50
  EFI Color: ORANGE
  Force Index: -3.22
  Normalized Price: 2.72
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: VCYT
  Date: 2025-12-18
  Price: $42.04
  Range: $40-$50
  Position in Range: 20.4%
  Buy Zone (25%): $42.50
  EFI Color: ORANGE
  Force Index: -3.02
  Normalized Price: 2.66
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: LIVN
  Date: 2025-12-18
  Price: $62.08
  Range: $60-$70
  Position in Range: 20.8%
  Buy Zone (25%): $62.50
  EFI Color: MAROON
  Force Index: -0.76
  Normalized Price: 5.18
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: NXPI
  Date: 2025-12-18
  Price: $222.08
  Range: $220-$230
  Position in Range: 20.8%
  Buy Zone (25%): $222.50
  EFI Color: MAROON
  Force Index: -0.97
  Normalized Price: 7.78
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: TRVI
  Date: 2025-12-18
  Price: $12.19
  Range: $10-$20
  Position in Range: 21.9%
  Buy Zone (25%): $12.50
  EFI Color: ORANGE
  Force Index: -1.01
  Normalized Price: 1.14
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: AAPL
  Date: 2025-12-18
  Price: $272.19
  Range: $270-$280
  Position in Range: 21.9%
  Buy Zone (25%): $272.50
  EFI Color: ORANGE
  Force Index: -7.62
  Normalized Price: 8.94
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: COP
  Date: 2025-12-18
  Price: $92.23
  Range: $90-$100
  Position in Range: 22.3%
  Buy Zone (25%): $92.50
  EFI Color: MAROON
  Force Index: -1.58
  Normalized Price: 1.40
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: FN
  Date: 2025-12-18
  Price: $452.46
  Range: $450-$460
  Position in Range: 24.6%
  Buy Zone (25%): $452.50
  EFI Color: ORANGE
  Force Index: -22.74
  Normalized Price: 32.65
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: GOOGL
  Date: 2025-12-18
  Price: $302.46
  Range: $300-$310
  Position in Range: 24.6%
  Buy Zone (25%): $302.50
  EFI Color: ORANGE
  Force Index: -12.13
  Normalized Price: 24.70
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: COCO
  Date: 2025-12-18
  Price: $52.48
  Range: $50-$60
  Position in Range: 24.8%
  Buy Zone (25%): $52.50
  EFI Color: ORANGE
  Force Index: -0.56
  Normalized Price: 6.34
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: IQV
  Date: 2025-12-18
  Price: $222.52
  Range: $220-$230
  Position in Range: 25.2%
  Buy Zone (25%): $222.50
  EFI Color: ORANGE
  Force Index: -1.25
  Normalized Price: 10.55
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: DDS
  Date: 2025-12-18
  Price: $652.55
  Range: $650-$660
  Position in Range: 25.5%
  Buy Zone (25%): $652.50
  EFI Color: ORANGE
  Force Index: -10.97
  Normalized Price: 55.88
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: FRSH
  Date: 2025-12-18
  Price: $12.59
  Range: $10-$20
  Position in Range: 25.9%
  Buy Zone (25%): $12.50
  EFI Color: ORANGE
  Force Index: -0.02
  Normalized Price: 0.31
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: IRWD
  Date: 2025-12-18
  Price: $3.26
  Range: $3-$4
  Position in Range: 26.0%
  Buy Zone (25%): $3.25
  EFI Color: MAROON
  Force Index: -0.44
  Normalized Price: 0.72
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: MRKR
  Date: 2025-12-18
  Price: $1.26
  Range: $1-$2
  Position in Range: 26.0%
  Buy Zone (25%): $1.25
  EFI Color: MAROON
  Force Index: -0.12
  Normalized Price: 0.11
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: NOG
  Date: 2025-12-17
  Price: $22.62
  Range: $20-$30
  Position in Range: 26.2%
  Buy Zone (25%): $22.50
  EFI Color: ORANGE
  Force Index: -0.79
  Normalized Price: -0.66
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: ATXS
  Date: 2025-12-18
  Price: $12.71
  Range: $10-$20
  Position in Range: 27.1%
  Buy Zone (25%): $12.50
  EFI Color: ORANGE
  Force Index: -0.20
  Normalized Price: 1.49
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: KBH
  Date: 2025-12-18
  Price: $62.75
  Range: $60-$70
  Position in Range: 27.5%
  Buy Zone (25%): $62.50
  EFI Color: MAROON
  Force Index: -1.43
  Normalized Price: 0.77
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: GSHD
  Date: 2025-12-18
  Price: $72.79
  Range: $70-$80
  Position in Range: 27.9%
  Buy Zone (25%): $72.50
  EFI Color: ORANGE
  Force Index: -2.15
  Normalized Price: -1.97
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: KBR
  Date: 2025-12-18
  Price: $42.80
  Range: $40-$50
  Position in Range: 28.0%
  Buy Zone (25%): $42.50
  EFI Color: MAROON
  Force Index: -0.24
  Normalized Price: -1.14
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: HASI
  Date: 2025-12-18
  Price: $32.83
  Range: $30-$40
  Position in Range: 28.3%
  Buy Zone (25%): $32.50
  EFI Color: ORANGE
  Force Index: -0.22
  Normalized Price: 1.73
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: TCBI
  Date: 2025-12-18
  Price: $92.86
  Range: $90-$100
  Position in Range: 28.6%
  Buy Zone (25%): $92.50
  EFI Color: MAROON
  Force Index: -1.39
  Normalized Price: 4.87
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: CSPI
  Date: 2025-12-18
  Price: $12.87
  Range: $10-$20
  Position in Range: 28.7%
  Buy Zone (25%): $12.50
  EFI Color: ORANGE
  Force Index: -0.68
  Normalized Price: 0.55
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: HRTX
  Date: 2025-12-18
  Price: $1.29
  Range: $1-$2
  Position in Range: 29.0%
  Buy Zone (25%): $1.25
  EFI Color: ORANGE
  Force Index: -0.01
  Normalized Price: 0.01
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: BCRX
  Date: 2025-12-18
  Price: $7.29
  Range: $7-$8
  Position in Range: 29.0%
  Buy Zone (25%): $7.25
  EFI Color: ORANGE
  Force Index: -0.28
  Normalized Price: -0.17
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: IVVD
  Date: 2025-12-18
  Price: $2.29
  Range: $2-$3
  Position in Range: 29.0%
  Buy Zone (25%): $2.25
  EFI Color: ORANGE
  Force Index: -0.06
  Normalized Price: 0.39
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: SRRK
  Date: 2025-12-18
  Price: $42.93
  Range: $40-$50
  Position in Range: 29.3%
  Buy Zone (25%): $42.50
  EFI Color: MAROON
  Force Index: -2.08
  Normalized Price: 5.18
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: MAX
  Date: 2025-12-18
  Price: $12.94
  Range: $10-$20
  Position in Range: 29.4%
  Buy Zone (25%): $12.50
  EFI Color: ORANGE
  Force Index: -0.00
  Normalized Price: 0.72
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: QLYS
  Date: 2025-12-18
  Price: $142.95
  Range: $140-$150
  Position in Range: 29.5%
  Buy Zone (25%): $142.50
  EFI Color: ORANGE
  Force Index: -6.27
  Normalized Price: 3.29
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: MS
  Date: 2025-12-18
  Price: $172.96
  Range: $170-$180
  Position in Range: 29.6%
  Buy Zone (25%): $172.50
  EFI Color: MAROON
  Force Index: -3.86
  Normalized Price: 9.34
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: FG
  Date: 2025-12-18
  Price: $32.97
  Range: $30-$40
  Position in Range: 29.7%
  Buy Zone (25%): $32.50
  EFI Color: ORANGE
  Force Index: -0.68
  Normalized Price: 1.00
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: OCUL
  Date: 2025-12-18
  Price: $12.98
  Range: $10-$20
  Position in Range: 29.8%
  Buy Zone (25%): $12.50
  EFI Color: MAROON
  Force Index: -1.58
  Normalized Price: 0.65
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: TPH
  Date: 2025-12-18
  Price: $32.98
  Range: $30-$40
  Position in Range: 29.8%
  Buy Zone (25%): $32.50
  EFI Color: ORANGE
  Force Index: -0.56
  Normalized Price: 0.01
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: JPM
  Date: 2025-12-18
  Price: $313.00
  Range: $310-$320
  Position in Range: 30.0%
  Buy Zone (25%): $312.50
  EFI Color: MAROON
  Force Index: -0.56
  Normalized Price: 6.97
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: MHO
  Date: 2025-12-18
  Price: $133.00
  Range: $130-$140
  Position in Range: 30.0%
  Buy Zone (25%): $132.50
  EFI Color: MAROON
  Force Index: -1.32
  Normalized Price: -0.29
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: STGW
  Date: 2025-12-18
  Price: $5.30
  Range: $5-$6
  Position in Range: 30.0%
  Buy Zone (25%): $5.25
  EFI Color: ORANGE
  Force Index: -0.42
  Normalized Price: 0.00
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: WNC
  Date: 2025-12-18
  Price: $9.30
  Range: $9-$10
  Position in Range: 30.0%
  Buy Zone (25%): $9.25
  EFI Color: MAROON
  Force Index: -0.05
  Normalized Price: 0.19
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: SFBS
  Date: 2025-12-18
  Price: $73.01
  Range: $70-$80
  Position in Range: 30.1%
  Buy Zone (25%): $72.50
  EFI Color: MAROON
  Force Index: -0.84
  Normalized Price: -1.50
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
